4-LETTER WORDS,5-LETTER WORDS,6-LETTER WORDS,7-LETTER WORDS,8-LETTER WORDS
move n.移动；步骤,claim n.要求；声称；索赔,assert vt.坚持；断言,declare vt.声明；宣称,claimant n.原告；索赔人；提出要求者
move n.迁居；策略,claim vt.要求；声称,assert vt.主张；声称,declare vi.宣布,proclaim vt.公布；声明
move vi.移动；迁移；离开,claim vt.需要；认领,affirm vt.肯定；断言,convert n.皈依者；改变宗教信仰者,proclaim vt.表明；赞扬
move vt.移动；感动,claim vi.提出要求,affirm vi.确认；断言,convert vt.使转变；转换…；使…改变信仰,announce vt.宣布；述说
rule n.统治；规则,shift n.移动；变化,allege vt.断言；提出…作为理由,convert vi.变换；皈依；改变信仰,announce vt.预示；播报
rule vt.统治；规定；管理,shift n.手段；轮班,change n.变化；找回的零钱,statute n.法规；法令；条例,announce vi.当播音员；宣布参加竞选
rule vi.统治；管辖；裁定,shift vt.转移；改变；替换,change vt.改变；交换,outcome n.结局；成果,movement n.运动；活动
code n.密码；编码；法典,shift vi.移动；转变；转换,change vi.改变；兑换,tighten vt.变紧；使变紧,movement n.运转；乐章
code vt.编码；制成法典,alter vt.更改,switch n.开关；转换；鞭子,tighten vi.绷紧；变紧,modifier n.改性剂；修饰语；修正的人
code vi.指定遗传密码,alter vi.改变；修改,switch vi.转换；抽打；换防,company n.公司；同伴；连队,transfer n.转让；转移
bill n.法案；广告；账单,ruler n.尺；统治者；划线的人,switch vt.转换；用鞭子等抽打,company vt.陪伴,transfer n.传递；过户
bill vt.宣布；开账单；用海报宣传,reign n.统治；支配；统治时期,modify vt.修饰；更改,company vi.交往,transfer vt.调任；使转移
firm n.公司；商号,reign vi.统治；支配,modify vi.修改,venture n.企业；风险；冒险,transfer vi.转让；转学；换车
firm adj.坚定的；牢固的,reign vi.盛行；君临,ruling n.支配；裁定,venture vt.敢于,dominate vt.控制；支配
firm adj.严格的；结实的,solid n.固体；立方体,ruling adj.统治的；主要的,venture vi.冒险；投机,dominate vt.占优势；在…中占主要地位
firm vt.使坚定；使牢固,solid adj.固体的；可靠的；立体的,ruling adj.支配的；普遍的,include vt.包括,dominate vi.占优势；处于支配地位
firm adv.稳固地,tight adj.紧的；密封的；绷紧的,govern vt.管理；支配,contain vi.含有；自制,dominant n.显性
firm vi.变坚实；变稳固,tight adj.麻烦的；严厉的,govern vt.统治；控制,contain vt.包含；控制,dominant adj.显性的；统治的；占优势的
rise n.上升；高地,tight adj.没空的；吝啬的,govern vi.进行统治；居支配地位,contain vt.容纳；牵制（敌军）,governor n.管理者；调节器
rise n.增加；出现,tight adv.紧紧地；彻底地,lawful adj.合法的；法定的；法律许可的,suggest vt.建议；启发；显示,governor n.主管人员；地方长官
rise vt.使…飞起；使…浮上水面,cover n.封皮；盖子,effect n.影响；效果；作用,propose vi.建议；求婚；打算,regulate vt.规定；控制
rise vi.上升；增强,cover n.借口；掩蔽物,effect vt.产生；达到目的,propose vt.建议；计划；求婚,regulate vt.校准；有系统的管理
rise vi.起立；高耸,cover vt.包括；报导；涉及,result n.结果；成绩,advisor n.顾问；劝告者；指导教师,solidity n.坚固；体积；固体性
hint n.暗示；线索,cover vi.覆盖；代替,result n.答案；比赛结果,approve vi.批准；赞成；满意,solidify vt.团结；凝固
hint vt.暗示；示意,raise n.高地；上升；加薪,result vi.结果；导致；产生,approve vt.批准；赞成；为…提供证据,solidify vi.团结；凝固
hint vi.示意,raise vt.提高；筹集,expand vt.扩张；详述；使膨胀,license n.特许；许可证,increase n.增长；提高
deem vt.视作；相信,raise vt.养育；升起,expand vi.发展；展开,license vt.许可；特许；发许可证给,increase vt.加大
deem vi.持某种看法；作某种评价,raise vi.上升,advise vt.建议；忠告,licence n.执照；特许,increase vi.增大；繁殖
view n.观察；视野,swell n.肿胀；隆起,advise vt.通知；警告,licence vt.许可；发给执照,multiply vt.乘；使增加
view n.意见；风景,swell vt.使膨胀；使隆起,advise vi.建议；与…商量,entitle vt.称做…；定名为…,multiply vt.使繁殖；使相乘
view vt.观察；考虑；查看,swell adj.漂亮的；一流的,permit n.执照,entitle vt.给…称号；使…有权利,multiply vi.乘；繁殖；增加
sake n.目的；利益,swell vi.膨胀；肿胀；隆起,permit vt.许可；允许,ethical n.处方药,multiply adv.多样地；复合地
sake n.理由；日本米酒,imply vt.意味；暗示；隐含,permit vi.许可；允许,ethical adj.伦理的；道德的；凭处方出售的,multiply adj.多层的；多样的
seem vi.似乎；像是；装作,allow vi.容许；考虑,enable vt.使成为可能；授予权利或方法,cherish vt.珍爱,escalate vt.使逐步上升
loom n.织布机；若隐若现的景象,allow vt.允许；给予；认可,worthy n.杰出人物；知名人士,cherish vt.怀有（感情等）；抱有（希望等）,escalate vi.逐步增强；逐步升高
loom vi.隐约可见；可怕地出现；朦胧地出现,value n.值；价值；价格,worthy adj.值得的；相称的；应…的,suppose conj.假使…结果会怎样,proposal n.建议；求婚
loom vt.在织布机上织,value vt.评价；重视；估价,regard n.注意；尊重,suppose vt.假设；认为,advisory n.报告；公告
